Date,Day,Phase,Week,Section,Exercise,Sets,Reps,Rest,Notes
1/28/2026,Wednesday,Phase 1 - Hypertrophy,3,Main,Bench Press,3,8,90s,increase load
1/28/2026,Wednesday,Phase 1 - Hypertrophy,3,Main,Cable Row,3,10,90s,
1/28/2026,Wednesday,Phase 1 - Hypertrophy,3,Main,Pallof Press w/ Rotation,3,8ea,60s,ANTI-ROTATION
1/28/2026,Wednesday,Phase 1 - Hypertrophy,3,Main,Farmer's Walk (heavy),3,40m,90s,grip focus
1/28/2026,Wednesday,Phase 1 - Hypertrophy,3,Cool-down,Hip flexor stretch,1,30s ea,-,
1/28/2026,Wednesday,Phase 1 - Hypertrophy,3,Cool-down,Deep breathing,1,60s,-,
1/30/2026,Friday,Phase 1 - Hypertrophy,3,Warm-up,Jumping jacks,1,1min,-,
1/30/2026,Friday,Phase 1 - Hypertrophy,3,Warm-up,World's greatest stretch,1,5ea,-,
1/30/2026,Friday,Phase 1 - Hypertrophy,3,Warm-up,Ring support hold,1,20s,-,
1/30/2026,Friday,Phase 1 - Hypertrophy,3,Main,KB Goblet Squat (32kg),3,10,60s,heavier
1/30/2026,Friday,Phase 1 - Hypertrophy,3,Main,Ring Pull-ups (assisted),3,8,90s,
1/30/2026,Friday,Phase 1 - Hypertrophy,3,Main,KB Push Press (2x16kg),3,10,60s,
1/30/2026,Friday,Phase 1 - Hypertrophy,3,Main,KB Single-Leg RDL (24kg),3,10ea,60s,
1/30/2026,Friday,Phase 1 - Hypertrophy,3,Main,Ring Body Saw,3,10,60s,ANTI-ROTATION
1/30/2026,Friday,Phase 1 - Hypertrophy,3,Main,Gi Grip Pull-up Hold (towel),3,25s,60s,judo specific
1/30/2026,Friday,Phase 1 - Hypertrophy,3,Cool-down,Forearm stretch,1,30s ea,-,
1/30/2026,Friday,Phase 1 - Hypertrophy,3,Cool-down,Child's pose,1,60s,-,
2/1/2026,Sunday,Phase 1 - Hypertrophy,3,Warm-up,High knees,1,30s,-,
2/1/2026,Sunday,Phase 1 - Hypertrophy,3,Warm-up,Butt kicks,1,30s,-,
2/1/2026,Sunday,Phase 1 - Hypertrophy,3,Warm-up,KB Halo (16kg),1,10ea,-,
2/1/2026,Sunday,Phase 1 - Hypertrophy,3,Main,KB Swing (32kg),5,12,60s,volume
2/1/2026,Sunday,Phase 1 - Hypertrophy,3,Main,Ring Push-ups (tempo 3-1-1),3,10,60s,slow eccentric
2/1/2026,Sunday,Phase 1 - Hypertrophy,3,Main,KB Step-up (24kg),3,10ea,60s,
2/1/2026,Sunday,Phase 1 - Hypertrophy,3,Main,Band Pull-Apart (varied angles),3,15,45s,
2/1/2026,Sunday,Phase 1 - Hypertrophy,3,Main,Plank Shoulder Tap,3,12ea,45s,ANTI-ROTATION
2/1/2026,Sunday,Phase 1 - Hypertrophy,3,Main,Band Uchi Komi (power),4,15,60s,judo specific
2/1/2026,Sunday,Phase 1 - Hypertrophy,3,Cool-down,Pigeon stretch,1,30s ea,-,
2/1/2026,Sunday,Phase 1 - Hypertrophy,3,Cool-down,Deep breathing,1,60s,-,
2/4/2026,Wednesday,Phase 1 - Hypertrophy,4,Warm-up,Jump rope,1,2min,-,
2/4/2026,Wednesday,Phase 1 - Hypertrophy,4,Warm-up,Hip circles,1,10ea,-,
2/4/2026,Wednesday,Phase 1 - Hypertrophy,4,Warm-up,Leg swings,1,10ea,-,
2/4/2026,Wednesday,Phase 1 - Hypertrophy,4,Warm-up,Band pull-aparts,1,15,-,
2/4/2026,Wednesday,Phase 1 - Hypertrophy,4,Main,Front Squat,4,8,90s,peak week
2/4/2026,Wednesday,Phase 1 - Hypertrophy,4,Main,Romanian Deadlift,4,8,90s,increase load
2/4/2026,Wednesday,Phase 1 - Hypertrophy,4,Main,Incline Bench Press,4,8,90s,
2/4/2026,Wednesday,Phase 1 - Hypertrophy,4,Main,Pendlay Row,4,8,90s,explosive
2/4/2026,Wednesday,Phase 1 - Hypertrophy,4,Main,Cable Woodchop (high to low),3,10ea,60s,ROTATION
2/4/2026,Wednesday,Phase 1 - Hypertrophy,4,Main,Plate Pinch Walk,3,20m,60s,grip
2/4/2026,Wednesday,Phase 1 - Hypertrophy,4,Cool-down,Hip flexor stretch,1,30s ea,-,
2/4/2026,Wednesday,Phase 1 - Hypertrophy,4,Cool-down,Deep breathing,1,60s,-,
2/6/2026,Friday,Phase 1 - Hypertrophy,4,Warm-up,Jumping jacks,1,1min,-,
2/6/2026,Friday,Phase 1 - Hypertrophy,4,Warm-up,World's greatest stretch,1,5ea,-,
2/6/2026,Friday,Phase 1 - Hypertrophy,4,Warm-up,Ring support hold,1,20s,-,
2/6/2026,Friday,Phase 1 - Hypertrophy,4,Main,KB Front Squat (2x24kg),4,8,60s,heavy
2/6/2026,Friday,Phase 1 - Hypertrophy,4,Main,Ring Rows (feet high),4,10,60s,
2/6/2026,Friday,Phase 1 - Hypertrophy,4,Main,KB Floor Press (2x24kg),4,8,60s,
2/6/2026,Friday,Phase 1 - Hypertrophy,4,Main,KB Sumo Deadlift (32kg),4,10,60s,
2/6/2026,Friday,Phase 1 - Hypertrophy,4,Main,Ring Fallout,3,8,60s,ANTI-ROTATION
2/6/2026,Friday,Phase 1 - Hypertrophy,4,Main,Towel Grip Hang + Pull,3,5,60s,judo grip
2/6/2026,Friday,Phase 1 - Hypertrophy,4,Cool-down,Forearm stretch,1,30s ea,-,
2/6/2026,Friday,Phase 1 - Hypertrophy,4,Cool-down,Child's pose,1,60s,-,
2/8/2026,Sunday,Phase 1 - Hypertrophy,4,Warm-up,High knees,1,30s,-,
2/8/2026,Sunday,Phase 1 - Hypertrophy,4,Warm-up,Butt kicks,1,30s,-,
2/8/2026,Sunday,Phase 1 - Hypertrophy,4,Warm-up,KB Halo (16kg),1,10ea,-,
2/8/2026,Sunday,Phase 1 - Hypertrophy,4,Main,KB Swing (32kg),5,15,60s,volume peak
2/8/2026,Sunday,Phase 1 - Hypertrophy,4,Main,Ring Dips,4,8,60s,
2/8/2026,Sunday,Phase 1 - Hypertrophy,4,Main,KB Walking Lunge (2x16kg),3,12ea,60s,
2/8/2026,Sunday,Phase 1 - Hypertrophy,4,Main,Band W-Raise,3,15,45s,shoulder health
2/8/2026,Sunday,Phase 1 - Hypertrophy,4,Main,Dead Bug (weighted),3,10ea,45s,ANTI-ROTATION
2/8/2026,Sunday,Phase 1 - Hypertrophy,4,Main,Band Uchi Komi (max effort),4,20,60s,judo
2/8/2026,Sunday,Phase 1 - Hypertrophy,4,Cool-down,Pigeon stretch,1,30s ea,-,
2/8/2026,Sunday,Phase 1 - Hypertrophy,4,Cool-down,Deep breathing,1,60s,-,
2/11/2026,Wednesday,Phase 1 - DELOAD,5,Warm-up,Jump rope (light),1,2min,-,
2/11/2026,Wednesday,Phase 1 - DELOAD,5,Warm-up,Hip circles,1,10ea,-,
2/11/2026,Wednesday,Phase 1 - DELOAD,5,Main,Back Squat,2,8,90s,-10% load
2/11/2026,Wednesday,Phase 1 - DELOAD,5,Main,Romanian Deadlift,2,8,90s,-10% load
2/11/2026,Wednesday,Phase 1 - DELOAD,5,Main,Bench Press,2,8,90s,-10% load
2/11/2026,Wednesday,Phase 1 - DELOAD,5,Main,Bent-Over Row,2,8,90s,-10% load
2/11/2026,Wednesday,Phase 1 - DELOAD,5,Main,Pallof Press,2,10ea,60s,ANTI-ROTATION
2/11/2026,Wednesday,Phase 1 - DELOAD,5,Mobility,Hip 90/90 stretch,2,60s ea,-,
2/11/2026,Wednesday,Phase 1 - DELOAD,5,Mobility,Thoracic rotations,2,10ea,-,
2/11/2026,Wednesday,Phase 1 - DELOAD,5,Mobility,Foam roll full body,1,5min,-,
2/13/2026,Friday,Phase 1 - DELOAD,5,Warm-up,Jumping jacks,1,1min,-,
2/13/2026,Friday,Phase 1 - DELOAD,5,Warm-up,Cat-cow,1,10,-,
2/13/2026,Friday,Phase 1 - DELOAD,5,Main,KB Goblet Squat (24kg),2,10,60s,easy
2/13/2026,Friday,Phase 1 - DELOAD,5,Main,Ring Rows,2,10,60s,
2/13/2026,Friday,Phase 1 - DELOAD,5,Main,KB Floor Press (2x16kg),2,10,60s,
2/13/2026,Friday,Phase 1 - DELOAD,5,Main,Ring Support Hold,2,20s,60s,
2/13/2026,Friday,Phase 1 - DELOAD,5,Main,Dead Hang,2,30s,60s,grip
2/13/2026,Friday,Phase 1 - DELOAD,5,Mobility,Full body stretching,1,10min,-,
2/15/2026,Sunday,Phase 1 - DELOAD,5,Warm-up,Light movement,1,3min,-,
2/15/2026,Sunday,Phase 1 - DELOAD,5,Main,KB Swing (24kg),3,12,60s,easy
2/15/2026,Sunday,Phase 1 - DELOAD,5,Main,Ring Push-ups,2,10,60s,
2/15/2026,Sunday,Phase 1 - DELOAD,5,Main,KB Reverse Lunge (16kg),2,8ea,60s,
2/15/2026,Sunday,Phase 1 - DELOAD,5,Main,Band Uchi Komi (technique),3,15,60s,smooth
2/15/2026,Sunday,Phase 1 - DELOAD,5,Mobility,Extended mobility routine,1,15min,-,
2/18/2026,Wednesday,Phase 2 - Max Strength,6,Warm-up,Jump rope,1,2min,-,
2/18/2026,Wednesday,Phase 2 - Max Strength,6,Warm-up,Hip circles,1,10ea,-,
2/18/2026,Wednesday,Phase 2 - Max Strength,6,Warm-up,Leg swings,1,10ea,-,
2/18/2026,Wednesday,Phase 2 - Max Strength,6,Warm-up,Empty bar squat,1,10,-,groove pattern
2/18/2026,Wednesday,Phase 2 - Max Strength,6,Warm-up,Band pull-aparts,1,15,-,
2/18/2026,Wednesday,Phase 2 - Max Strength,6,Main,Back Squat,4,5,150s,heavy
2/18/2026,Wednesday,Phase 2 - Max Strength,6,Main,Bench Press,4,5,150s,heavy
2/18/2026,Wednesday,Phase 2 - Max Strength,6,Main,Weighted Pull-up,3,5,120s,add plate
2/18/2026,Wednesday,Phase 2 - Max Strength,6,Main,Pallof Press ISO Hold,3,30s ea,60s,ANTI-ROTATION
2/18/2026,Wednesday,Phase 2 - Max Strength,6,Main,Farmer's Walk (heavy),3,40m,90s,grip focus
2/18/2026,Wednesday,Phase 2 - Max Strength,6,Cool-down,Hip flexor stretch,1,30s ea,-,
2/18/2026,Wednesday,Phase 2 - Max Strength,6,Cool-down,Pec stretch,1,30s ea,-,
2/18/2026,Wednesday,Phase 2 - Max Strength,6,Cool-down,Lat stretch,1,30s ea,-,
2/18/2026,Wednesday,Phase 2 - Max Strength,6,Cool-down,Deep breathing,1,60s,-,
2/20/2026,Friday,Phase 2 - Max Strength,6,Warm-up,Jumping jacks,1,1min,-,
2/20/2026,Friday,Phase 2 - Max Strength,6,Warm-up,World's greatest stretch,1,5ea,-,
2/20/2026,Friday,Phase 2 - Max Strength,6,Warm-up,Ring support hold,1,20s,-,
2/20/2026,Friday,Phase 2 - Max Strength,6,Main,KB Front Squat (2x24kg),4,6,90s,
2/20/2026,Friday,Phase 2 - Max Strength,6,Main,Ring Pull-ups,4,max-2,90s,submaximal
2/20/2026,Friday,Phase 2 - Max Strength,6,Main,KB Floor Press (2x24kg),4,6,90s,
2/20/2026,Friday,Phase 2 - Max Strength,6,Main,KB Single-Leg RDL (32kg),3,6ea,90s,heavy
2/20/2026,Friday,Phase 2 - Max Strength,6,Main,Ring Ab Rollout,3,8,60s,ANTI-ROTATION
2/20/2026,Friday,Phase 2 - Max Strength,6,Main,Gi Grip Pull-up (towel),3,5,90s,judo grip
2/20/2026,Friday,Phase 2 - Max Strength,6,Cool-down,Forearm stretch,1,30s ea,-,
2/20/2026,Friday,Phase 2 - Max Strength,6,Cool-down,Child's pose,1,60s,-,
2/22/2026,Sunday,Phase 2 - Max Strength,6,Warm-up,High knees,1,30s,-,
2/22/2026,Sunday,Phase 2 - Max Strength,6,Warm-up,Butt kicks,1,30s,-,
2/22/2026,Sunday,Phase 2 - Max Strength,6,Warm-up,KB Halo (16kg),1,10ea,-,
2/22/2026,Sunday,Phase 2 - Max Strength,6,Main,KB Swing (32kg),5,10,90s,power focus
2/22/2026,Sunday,Phase 2 - Max Strength,6,Main,Ring Dips (weighted if avail),4,6,90s,
2/22/2026,Sunday,Phase 2 - Max Strength,6,Main,KB Bulgarian Split Squat (24kg),3,6ea,90s,
2/22/2026,Sunday,Phase 2 - Max Strength,6,Main,Ring Face Pull,3,12,60s,
2/22/2026,Sunday,Phase 2 - Max Strength,6,Main,Hollow Body Hold,3,30s,45s,ANTI-ROTATION
2/22/2026,Sunday,Phase 2 - Max Strength,6,Main,Band Uchi Komi (resistance),4,15,60s,judo
2/22/2026,Sunday,Phase 2 - Max Strength,6,Cool-down,Pigeon stretch,1,30s ea,-,
2/22/2026,Sunday,Phase 2 - Max Strength,6,Cool-down,Deep breathing,1,60s,-,
2/25/2026,Wednesday,Phase 2 - Max Strength,7,Warm-up,Jump rope,1,2min,-,
2/25/2026,Wednesday,Phase 2 - Max Strength,7,Warm-up,Hip circles,1,10ea,-,
2/25/2026,Wednesday,Phase 2 - Max Strength,7,Warm-up,Empty bar squat,1,10,-,
2/25/2026,Wednesday,Phase 2 - Max Strength,7,Main,Front Squat,4,5,150s,increase load
2/25/2026,Wednesday,Phase 2 - Max Strength,7,Main,Incline Bench Press,4,5,150s,
2/25/2026,Wednesday,Phase 2 - Max Strength,7,Main,Pendlay Row,4,5,120s,explosive
2/25/2026,Wednesday,Phase 2 - Max Strength,7,Main,Anti-Rotation Press (cable),3,8ea,60s,ANTI-ROTATION
2/25/2026,Wednesday,Phase 2 - Max Strength,7,Main,Suitcase Deadlift,3,6ea,90s,grip/oblique
2/25/2026,Wednesday,Phase 2 - Max Strength,7,Cool-down,Hip flexor stretch,1,30s ea,-,
2/25/2026,Wednesday,Phase 2 - Max Strength,7,Cool-down,Deep breathing,1,60s,-,
2/27/2026,Friday,Phase 2 - Max Strength,7,Warm-up,Jumping jacks,1,1min,-,
2/27/2026,Friday,Phase 2 - Max Strength,7,Warm-up,World's greatest stretch,1,5ea,-,
2/27/2026,Friday,Phase 2 - Max Strength,7,Main,KB Goblet Squat (32kg),4,6,90s,
2/27/2026,Friday,Phase 2 - Max Strength,7,Main,Ring Rows (feet very high),4,8,90s,challenging
2/27/2026,Friday,Phase 2 - Max Strength,7,Main,KB Push Press (2x24kg),4,5,90s,power
2/27/2026,Friday,Phase 2 - Max Strength,7,Main,KB RDL (32kg),4,6,90s,
2/27/2026,Friday,Phase 2 - Max Strength,7,Main,Ring Plank Saw,3,10,60s,ANTI-ROTATION
2/27/2026,Friday,Phase 2 - Max Strength,7,Main,Towel Dead Hang,3,35s,60s,grip
2/27/2026,Friday,Phase 2 - Max Strength,7,Cool-down,Forearm stretch,1,30s ea,-,
2/27/2026,Friday,Phase 2 - Max Strength,7,Cool-down,Child's pose,1,60s,-,
3/1/2026,Sunday,Phase 2 - Max Strength,7,Warm-up,High knees,1,30s,-,
3/1/2026,Sunday,Phase 2 - Max Strength,7,Warm-up,KB Halo (16kg),1,10ea,-,
3/1/2026,Sunday,Phase 2 - Max Strength,7,Main,KB Clean + Squat (2x24kg),4,5,90s,combo
3/1/2026,Sunday,Phase 2 - Max Strength,7,Main,Ring Push-up (feet elevated),4,8,90s,
3/1/2026,Sunday,Phase 2 - Max Strength,7,Main,KB Reverse Lunge (2x24kg),3,6ea,90s,
3/1/2026,Sunday,Phase 2 - Max Strength,7,Main,Band W-Raise,3,15,45s,
3/1/2026,Sunday,Phase 2 - Max Strength,7,Main,Side Plank,3,30s ea,45s,ANTI-ROTATION
3/1/2026,Sunday,Phase 2 - Max Strength,7,Main,Band Uchi Komi (heavy band),4,12,60s,judo
3/1/2026,Sunday,Phase 2 - Max Strength,7,Cool-down,Pigeon stretch,1,30s ea,-,
3/1/2026,Sunday,Phase 2 - Max Strength,7,Cool-down,Deep breathing,1,60s,-,
3/4/2026,Wednesday,Phase 2 - Max Strength,8,Warm-up,Jump rope,1,2min,-,
3/4/2026,Wednesday,Phase 2 - Max Strength,8,Warm-up,Hip circles,1,10ea,-,
3/4/2026,Wednesday,Phase 2 - Max Strength,8,Warm-up,Empty bar squat,1,10,-,
3/4/2026,Wednesday,Phase 2 - Max Strength,8,Main,Back Squat,5,4,180s,heavy
3/4/2026,Wednesday,Phase 2 - Max Strength,8,Main,Bench Press,5,4,180s,heavy
3/4/2026,Wednesday,Phase 2 - Max Strength,8,Main,Weighted Chin-up,4,4,120s,
3/4/2026,Wednesday,Phase 2 - Max Strength,8,Main,Landmine Anti-Rotation,3,8ea,60s,ANTI-ROTATION
3/4/2026,Wednesday,Phase 2 - Max Strength,8,Main,Farmer's Walk (max weight),3,30m,90s,grip
3/4/2026,Wednesday,Phase 2 - Max Strength,8,Cool-down,Hip flexor stretch,1,30s ea,-,
3/4/2026,Wednesday,Phase 2 - Max Strength,8,Cool-down,Deep breathing,1,60s,-,
3/6/2026,Friday,Phase 2 - Max Strength,8,Warm-up,Jumping jacks,1,1min,-,
3/6/2026,Friday,Phase 2 - Max Strength,8,Warm-up,World's greatest stretch,1,5ea,-,
3/6/2026,Friday,Phase 2 - Max Strength,8,Main,KB Front Squat (2x24kg),4,5,90s,strict
3/6/2026,Friday,Phase 2 - Max Strength,8,Main,Ring Pull-ups (slow eccentric),4,5,120s,4s down
3/6/2026,Friday,Phase 2 - Max Strength,8,Main,KB Floor Press (2x24kg),4,5,90s,pause at bottom
3/6/2026,Friday,Phase 2 - Max Strength,8,Main,KB Single-Leg Squat to Box,3,5ea,90s,
3/6/2026,Friday,Phase 2 - Max Strength,8,Main,Ring Fallout,3,8,60s,ANTI-ROTATION
3/6/2026,Friday,Phase 2 - Max Strength,8,Main,Gi Grip Rows (towel on rings),3,8,60s,judo
3/6/2026,Friday,Phase 2 - Max Strength,8,Cool-down,Forearm stretch,1,30s ea,-,
3/6/2026,Friday,Phase 2 - Max Strength,8,Cool-down,Child's pose,1,60s,-,
3/8/2026,Sunday,Phase 2 - Max Strength,8,Warm-up,High knees,1,30s,-,
3/8/2026,Sunday,Phase 2 - Max Strength,8,Warm-up,KB Halo (16kg),1,10ea,-,
3/8/2026,Sunday,Phase 2 - Max Strength,8,Main,KB Swing (32kg),6,10,90s,power
3/8/2026,Sunday,Phase 2 - Max Strength,8,Main,Ring Dips (pause at bottom),4,5,90s,2s pause
3/8/2026,Sunday,Phase 2 - Max Strength,8,Main,KB Walking Lunge (2x24kg),3,6ea,90s,heavy
